apiKeyId,provider,model,promptTokens,completionTokens,costUsd,costEstimated,latencyMs,cacheHit,cacheKind,status,createdAt
key-1,local,local-small,28,45,0.00002080,f,123,f,,success,2026-08-24 18:01:44.307
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:44.364
key-1,local,local-small,28,45,0.00002080,f,134,f,,success,2026-08-24 18:01:44.408
key-1,local,local-small,27,44,0.00002030,f,126,f,,success,2026-08-24 18:01:44.596
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:44.646
key-1,local,local-small,28,45,0.00002080,f,127,f,,success,2026-08-24 18:01:44.676
key-1,local,local-small,32,49,0.00002280,f,121,f,,success,2026-08-24 18:01:44.723
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:44.832
key-1,local,local-small,27,44,0.00002030,f,120,f,,success,2026-08-24 18:01:44.858
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:44.9
key-1,local,local-small,28,45,0.00002080,f,135,f,,success,2026-08-24 18:01:44.959
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:45.031
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:45.098
key-1,local,local-small,30,47,0.00002180,f,130,f,,success,2026-08-24 18:01:45.143
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:45.171
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:45.233
key-1,cache,local-small,0,0,0.00000000,f,3,t,exact,success,2026-08-24 18:01:45.375
key-1,cache,local-small,0,0,0.00000000,f,2,t,exact,success,2026-08-24 18:01:45.566
key-1,local,local-small,33,50,0.00002330,f,120,f,,success,2026-08-24 18:01:45.578
key-1,local,local-small,29,46,0.00002130,f,256,f,,success,2026-08-24 18:01:45.579
